team_name,model_name,model_abbr,model_contributors,website_url,license,team_model_designation,methods,data_inputs,methods_long,team_funding,citation,repo_url,twitter_handles,institution_affil,this_model_is_an_ensemble
Columbia University,scenario_mid,CU-scenario_mid,"Sen Pei, Teresa Yamana, Sasikiran Kandula, Wan Yang, Marta Galanti, Jeffrey Shaman <jls106@cumc.columbia.edu>",https://blogs.cuit.columbia.edu/jls106/publications/covid-19-findings-simulations/,apache-2.0,other,"We produce different intervention scenarios, assuming various interventions and rates of compliance are implemented in the future. This projection assumes relatively moderate transmission.",USAFACTS County-level confirmed cases and deaths,"This metapopulation county-level SEIR model makes projections of future COVID-19 incidence and deaths.  We produce a number of different intervention scenarios, each assuming various interventions and rates of compliance are implemented in the future. November 8 - present: '5_2xhold': 5% increase in contact rates for two weeks.  The following week, the reproduction number R is set to 1 for the remainder of the projection. October 4 - November 5:   '5_1xhold': This scenario assumes a one-time 5% increase in contact rates, which is applied at the start of the projection and maintained for one week.  After one week, the reproduction number R is set to 1 for the remainder of the projection. August 23 - September 27: '5_2xhold': This scenario assumes a weekly 5% increase in contact rates for two weeks.  The following week, the reproduction number R is set to 1 for the remainder of the projection. June 14 - August 22 'season4': This scenario assumes that current contact rates will remain unchanged in the future.  In addition, we assume a seasonal decrease in disease transmission leading to a weekly 4% decrease in reproductive number R(t). May 3 - June 7 '80contactw5p': For states maintaining or increasing current social distancing restrictions, we apply a 20% weekly reductions of contact rates, as described above. However, in states that reopen, we apply an increase to the contact rate of counties in those states. In the first scenario, we apply a one-time 10% increase to the contact rate during the week that the state is scheduled to reopen and maintain this new increased rate for the remainder of the projection. April 12 - April 26 '70contact': This scenario mimics adaptive adjustments in contact imposed both by government regulations (e.g. school closures, restrictions on mass gatherings) and population self-regulation (e.g. isolation, mask wearing, social distancing).  Upon initiation of projections, all counties with 10 or more confirmed cases impose a 30% contact rate reduction. Each week following, if a county newly exceeds 10 confirmed cases, a 30% contact rate reduction is imposed, depending on the projection scenario. Counties that had previously exceeded 10 confirmed cases and also experience an increase in the number of weekly reported confirmed cases impose a further, multiplicative 30% contact rate reduction, depending on the projection scenario. ",Supported by US NIH grant GM110748 and US NSF RAPID grant DMS2027369,https://doi.org/10.1101/2020.03.21.20040303,https://github.com/shaman-lab/COVID-19Projection,NA,NA,NA
Columbia University,select,CU-select,"Sen Pei, Teresa Yamana, Sasikiran Kandula, Wan Yang, Marta Galanti, Jeffrey Shaman <jls106@cumc.columbia.edu>",https://blogs.cuit.columbia.edu/jls106/publications/covid-19-findings-simulations/,apache-2.0,primary,A metapopulation county-level SEIR model for projecting future COVID-19 incidence and deaths. This forecast is the scenario we believe to be most plausible given the current setting.,USAFACTS County-level confirmed cases and deaths,"This metapopulation county-level SEIR model makes projections of future COVID-19 incidence and deaths.  We produce a number of different intervention scenarios, each assuming various interventions and rates of compliance are implemented in the future.  This submission is the selection of the weekly scenario we believe to be most plausible given current observations and planned intervention policies.  The selected scenarios are listed below: November 8 - present '5_2xhold': This scenario assumes a weekly 5% increase in contact rates for two weeks.  The following week, the reproduction number R is set to 1 for the remainder of the projection. October 4 - November 5 '5_1xhold': This scenario assumes a one-time 5% increase in contact rates, which is applied at the start of the projection and maintained for one week.  After one week, the reproduction number R is set to 1 for the remainder of the projection. June 14 - September 27 '5_2xhold': This scenario assumes a weekly 5% increase in contact rates for two weeks.  The following week, the reproduction number R is set to 1 for the remainder of the projection.   June 7 '80contact1x5p' : This scenario assumes a weekly 20% decrease in counties with growing weekly cases and stay-at-home orders in place, and a one-time 5% increase in states that have reopened. May 7 - June 4 '80contactw5p': For states maintaining or increasing current social distancing restrictions, we apply a 20% weekly reductions of contact rates, as described above. However, in states that reopen, we apply a weekly 5% increase to the contact rate of counties in those states. May 3 '80contact1x10p': For states maintaining or increasing current social distancing restrictions, we apply a 20% weekly reductions of contact rates, as described above. However, in states that reopen, we apply a one-time 10% increase to the contact rate during the week that the state is scheduled to reopen and maintain this new increased rate for the remainder of the projection. April 12 - April 26 '70contact': This scenario mimics adaptive adjustments in contact imposed both by government regulations (e.g. school closures, restrictions on mass gatherings) and population self-regulation (e.g. isolation, mask wearing, social distancing).  Upon initiation of projections, all counties with 10 or more confirmed cases impose a 30% contact rate reduction. Each week following, if a county newly exceeds 10 confirmed cases, a 30% contact rate reduction is imposed, depending on the projection scenario. Counties that had previously exceeded 10 confirmed cases and also experience an increase in the number of weekly reported confirmed cases impose a further, multiplicative 30% contact rate reduction, depending on the projection scenario. ",Supported by US NIH grant GM110748 and US NSF RAPID grant DMS2027369,https://doi.org/10.1101/2020.03.21.20040303,https://github.com/shaman-lab/COVID-19Projection,NA,NA,NA
Caltech CS156,CS156,Caltech-CS156,"Yaser S. Abu-Mostafa (Caltech) <yaser@caltech.edu>, Connor Soohoo (Caltech), Albert Tseng (Caltech), Dominic Yurk (Caltech), Alexander Zlokapa (Caltech), Rahil Bathwal (Caltech), Nicholas Chang (Caltech), Pavan Chitta (Caltech), Kiruthika Devasenapathy (Caltech), Annie Erickson (Caltech), Sumit Goel (Caltech), Jethin Gowda (Caltech), Qixuan Jin (Caltech), HyeongChan Jo (Caltech), Juhyun Kim (Caltech), Pranav Kulkarni (Caltech), Sam Lushtak (Caltech), Ethan Mann (Caltech), Max Popken (Caltech), Kushal Tirumala (Caltech), Vignesh Varadarajan (Caltech), Jagath Vytheeswaran (Caltech), Chris Wang (Caltech), Akshay Yeluri (Caltech), Michael Zhang (Caltech)",http://cs156.caltech.edu,cc-by-nc-4.0,primary,"Aggregate of 14 machine learning (neural network, autoregressive, decision tree, etc.) and epidemiological models guided by machine learning.",NA,NA,"Clinard Innovation Fund, Caltech SURF Office, Mr. Charles Trimble and Ms. Liying Huang",NA,NA,NA,NA,NA
Columbia_UNC,Survival-Convolution Models,Columbia_UNC-SurvCon,"Yuanjia Wang <yw2016@cumc.columbia.edu>, Donglin Zeng <dzeng@email.unc.edu>, Qinxia Wang <qw2223@cumc.columbia.edu>, Shanghong Xie <sx2168@cumc.columbia.edu>",https://github.com/COVID19BIOSTAT/covid19_prediction,apache-2.0,primary,A survival-convolution model with piece-wise transmission rates that incorporates latent incubation period and provides time-varying effective reproductive number.,confirmed cases and deaths from JHU CSSE https://github.com/CSSEGISandData/COVID-19/tree/master/csse_covid_19_data/csse_covid_19_time_series,"We predict COVID-19 daily new cases using a robust and parsimonious survival-convolution model. We account for transmission during the pre-symptomatic incubation period, use a time-varying effective reproductive number (Rt) to reflect the temporal trend of transmission and change in response to a public health intervention, and quantify uncertainty by permutation. We use a regression model to predict cumulative deaths from estimated time-lagged cumulative total number of COVID-19 cases.",NIH grant GM124104,https://www.frontiersin.org/articles/10.3389/fpubh.2020.00325/full?&utm_source=Email_to_authors_&utm_medium=Email&utm_content=T1_11.5e1_author&utm_campaign=Email_publication&field=&journalName=Frontiers_in_Public_Health&id=561170,NA,NA,NA,NA
COVID-19 Simulator,Simulator,Covid19Sim-Simulator,"Jagpreet Chhatwal <jagchhatwal@mgh.harvard.edu>, Turgay Ayer <ayer@isye.gatech.edu>,  Benjamin Linas <Benjamin.Linas@bmc.org>, Ozden Dalgic <ozden.onur.dalgic@gmail.com>, Peter Mueller <PCMUELLER@mgh.harvard.edu>, Madeline Adee <MADEE@mgh.harvard.edu>, Mary Ann (M.A.) Ladd <maladd@mgh-ita.org>, Jade Xiao <yxiao348@gatech.edu>",https://covid19sim.org/,cc-by-nc-4.0,primary,"An interactive tool developed by researchers at Mass General Hospital, Harvard Medical School, Georgia Tech and Boston Medical Center to inform COVID-19 intervention policy decisions in the US.","JHU CSSE, covidtracking.com","The COVID-19 Simulator uses a validated compartment model to simulate the trajectory of COVID-19 at the state level from March 15, 2020 to August 31, 2020 in the United States. Utilizing the most recent data for each state, the COVID-19 Simulator considers state-specific disease spread dynamics. Specifically, to reproduce the observed trends and project future cases of COVID-19, time-varying and state-specific effective reproductive numbers are estimated and fed as inputs into a compartment model. The compartment model is defined using Susceptible, Exposed, Infectious, and Recovered compartments (i.e., SEIR model) with continuous time progression. Model programming and analysis were performed in R (version 3.6.2), and the package deSolve was used to solve the ordinary differential equation system. ",NA,NA,NA,NA,NA,NA
CovidActNow,SEIR_CAN,CovidActNow-SEIR_CAN,"Eric Carlson <eric.carlson@grandrounds.com>, Max Henderson <max@maxhenderson.com>, Chris Kelly <ghop02@gmail.com>, Igor Kofman <kofman@gmail.com>, Xinyu Zhang <xinyu.zhang@grandrounds.com>",https://covidactnow.org/,cc-by-4.0,primary,"SEIR model forecasts of cumulative deaths, incident deaths, incident hospitalizations  by fitting predicted cases, deaths, and hospitalizations to the observations.",NYTimes for case and death data,"The SEIR Model makes forecast of cumulative deaths, incident deaths, incident hospitalizations by fitting predicted cases, deaths, and hospitalizations to the observations. Quantiles of the forecast are derived from forecast error (comparing latest observation and corresponding forecast) rescaled based on days forward of forecast. ",NA,NA,https://github.com/covid-projections/covid-data-model,NA,NA,NA
CovidAnalytics at MIT,DELPHI,CovidAnalytics-DELPHI,"Michael Lingzhi Li (Massachusetts Institute of Technology) <mlli@mit.edu>, Hamza Tazi Bouardi (Massachusetts Institute of Technology), Omar Skali Lami (Massachusetts Institute of Technology), Thomas A. Trikalinos (Brown University), Nikolaos K. Trichakis (Massachusetts Institute of Technology), Dimitris Bertsimas (Massachusetts Institute of Technology)",https://www.covidanalytics.io/,apache-2.0,primary,This model predicts based on an SEIR model augmented with underdetection and interventions. Projections account for reopening and assume interventions would be re-enacted if cases continue to climb. ,JHU CSSE case and death data,"This model makes predictions for future cases based on a heavily modified SEIR model. New states are added to the SEIR model to account for cases that went undetected, and an explicit death state is included. The infection rate is corrected with a nonlinear curve that represents the governmental and societal response (which is assumed to change according to the magnitude of the outbreak). Key parameters for the disease are fixed using a metanalysis  conducted by the CovidAnalytics group of over 150 parameters while epidemiological parameters are fitted to hisotical death counts and detected cases. ",NA,https://www.covidanalytics.io/DELPHI_documentation_pdf,https://github.com/COVIDAnalytics/DELPHI,covid_analytics,NA,NA
Discrete Dynamical Systems,Negative Binomial Dynamical System,DDS-NBDS,"Rahi Kalantari <rkalantari@utexas.edu>, Mingyuan Zhou <mingyuan.zhou@mccombs.utexas.edu>",https://dds-covid19.github.io/,mit,primary,Jointly modeling daily deaths and cases using a negative binomial distribution based nonparametric Bayesian generalized linear dynamical system.,JHU,"We introduce negative binomial linear dynamical system (NBDS) to jointly model daily deaths and cases reported at all 50 US States and D.C. NBDS is a nonparametric Bayesian hierarchical model built on the graph gamma process (GGP). Generated from the GGP is an infinite dimensional directed sparse random graph, which is constructed by taking the OR operation of countably infinite binary adjacency matrices that share the same set of countably infinite nodes. Each of these adjacency matrices is associated with a weight to indicate its overall activation strength, and places a finite number of edges between a finite subset of nodes belonging to the same community. We use the generated random graph, whose number of nonzero-degree nodes is finite, to define both the sparsity patterns and dimensions of the latent state transition matrices of generalized linear dynamical systems. We show how the formed overlapping communities in the latent space can provide interpretable latent transition patterns of the COVID-19 time series, providing good predictive performance and uncertainty estimation.",NA,https://dds-covid19.github.io/,https://github.com/dds-covid19/dds-covid19.github.io,NA,NA,NA
Facebook AI Research,NRAR,FAIR-NRAR,"Matthew Le, Mark Ibrahim, Levent Sagun, Timothee Lacroix, Maximilian Nickel <maxn@fb.com>",https://dataforgood.fb.com/tools/covid-19-forecasts/,cc-by-nc-4.0,primary,Neural Relational Autoregressive Model,New York Times case counts,We combine recurrent neural networks with a vector autoregressive model and train the joint model with a specific regularization scheme that increases the coupling between regions. This approach is akin to using Granger causality as a relational inductive bias and helps training of high-resolution models by borrowing statistical strength across regions.,NA,https://ai.facebook.com/research/publications/neural-relational-autoregression-for-high-resolution-covid-19-forecasting/,NA,NA,NA,NA
GT,DeepCOVID,GT-DeepCOVID,"B. Aditya Prakash (Georgia Institute of Technology) <badityap@cc.gatech.edu>,  Alexander Rodriguez (Georgia Institute of Technology), Jiaming Cui (Georgia Institute of Technology), Anika Tabassum (Virginia Tech),  Bijaya Adhikari (University of Iowa/Virginia Tech), Full Team <deep-covid@lists.gatech.edu>",https://deepcovid.github.io/,cc-by-4.0,primary,"Data-driven approach based on deep learning for forecasting mortality and  hospitalizations using syndromic, clinical, demographic, and mobility. ","COVID Tracking Project, JHU, COVID-Net, NYT, demographic, mobility and symptomatic data","May 11 - This data-driven deep learning model learns the dependence of hospitalization and mortality rate on various detailed syndromic, demographic, mobility and clinical data (such as increase in positive Covid tests etc) from historical data. The learned model is then used to predict mortality and hospitalization at various points in future. To compensate for the effects of noise (in data and initialization), the model is bootstrapped on several subsamples and then aggregated. The model also propagates uncertainties in the data to show the confidence intervals in the forecasts.","Partly supported by multiple grants from NSF  (NSF CAREER, NSF CISE Expeditions, NSF IIS, NSF COVID RAPID) and GA Tech",NA,NA,NA,NA,NA
Georgia Institute of Technology Center for Health and Humanitarian Systems,COVID19,GT_CHHS-COVID19,"Pinar Keskinocak (Georgia Tech) <pinar@isye.gatech.edu>, Buse Eylul Oruc Aglar (Georgia Tech) <beo.aglar@gatech.edu>, Arden Baxter (Georgia Tech) <abaxter@gatech.edu>, John Asplund (Georgia Tech and Metron, Inc.), Nicoleta Serban (Georgia Tech)",https://github.com/pkeskinocak/Center-for-Health-and-Humanitarian-Systems/tree/master/COVID-19,cc-by-4.0,primary,Agent-based simulation model to project COVID19 infection spread.,Georgia Department of Public Health,"We developed an agent-based simulation model to predict the spread of COVID19  geographically and over time. The model captures both the  natural history of the disease and interactions in households, workplaces, schools, and communities.  The model was populated with COVID19 parameters from the literature and population-related data  from the state of Georgia, including demographic information, household sizes, and travel patterns, and validated using data regarding COVID19 confirmed cases  and deaths in Georgia. We have also extended our model to include results for North Carolina using population-related data from the state of North Carolina.",NA,NA,NA,NA,Georgia Institute of Technology,NA
University of Geneva / Swiss Data Science Center,DeterministicGrowth,Geneva-DetGrowth,"Antoine Flahault, Elisa Manetti, Thomas Simonson, Christine Choirat",https://renkulab.shinyapps.io/COVID-19-Epidemic-Forecasting/,other,primary,"We calculate the growth rate of cumulative cases (resp. deaths) between two days ago and today.  If greater than 5%, we use an exponential model to forecast. Otherwise, we use a linear model.",confirmed cases; reported fatalities; ECDC,"""We calculate the growth rate of cumulative cases (resp. deaths) between two days ago and today.  If it's greater than 5%, we use an exponential model to forecast the cumulative number of cases (resp. deaths),  and then derive the daily number of cases (resp. deaths). If it's less than 5%, we use an linear model instead.""","NA",https://renkulab.shinyapps.io/COVID-19-Epidemic-Forecasting/,https://renkulab.io/gitlab/covid-19/covid-19-forecast,NA,NA,NA
